Concept,Concept ID,Parent,Publications 2018,Publications 2019,Publications 2020,Publications 2021,Publications 2022,Publications 2023,Publications 2024
Convolutional neural network,https://openalex.org/C81363708,Machine Learning,19178,27717,32991,39867,41474,43957,16583
Heuristic,https://openalex.org/C173801870,Machine Learning,7117,7434,7940,8473,7646,7886,2746
Computational intelligence,https://openalex.org/C139502532,Machine Learning,1036,1197,1383,1522,1710,1188,1415
Greedy algorithm,https://openalex.org/C51823790,Machine Learning,1417,1484,1427,1445,1246,1317,468
Discriminative model,https://openalex.org/C97931131,Machine Learning,3667,4334,4706,5555,5276,5940,1590
VC dimension,https://openalex.org/C119322782,Machine Learning,45,41,59,54,46,46,7
Sentiment analysis,https://openalex.org/C66402592,Machine Learning,3635,4045,5092,5830,6116,7043,3986
Natural computing,https://openalex.org/C192979234,Machine Learning,42,28,27,34,31,38,17
Association rule learning,https://openalex.org/C193524817,Machine Learning,1212,1168,1157,1204,1125,1032,631
Turing test,https://openalex.org/C577917,Machine Learning,119,81,132,129,128,138,63
Nearest neighbor search,https://openalex.org/C116738811,Machine Learning,399,395,373,322,280,266,154
Topic model,https://openalex.org/C171686336,Machine Learning,1063,1115,1207,1464,1338,1389,481
Intelligent agent,https://openalex.org/C74072328,Machine Learning,212,245,248,235,219,235,67
Receiver operating characteristic,https://openalex.org/C58471807,Machine Learning,7505,9145,12829,15450,16126,16309,7802
Latent semantic analysis,https://openalex.org/C170133592,Machine Learning,199,208,184,182,181,172,52
Computational statistics,https://openalex.org/C176222170,Machine Learning,49,60,71,46,33,38,7
Data set,https://openalex.org/C58489278,Machine Learning,4849,5261,6083,6913,6389,6003,1331
Stability (learning theory),https://openalex.org/C112972136,Machine Learning,20617,21677,23310,24188,23302,25213,15085
Artificial neural network,https://openalex.org/C50644808,Artificial Intelligence,52076,67574,81032,94981,96878,104909,51834
Robot,https://openalex.org/C90509273,Artificial Intelligence,30807,34623,35269,37518,37619,41965,25737
Artificial general intelligence,https://openalex.org/C162027153,Artificial Intelligence,73,91,134,138,142,173,48
Turing test,https://openalex.org/C577917,Artificial Intelligence,119,81,132,129,128,138,63
Expert system,https://openalex.org/C58328972,Artificial Intelligence,1022,1104,1188,1132,977,990,416
Deep learning,https://openalex.org/C108583219,Artificial Intelligence,20466,31046,40030,49753,53351,61959,31221
The Internet,https://openalex.org/C110875604,Artificial Intelligence,43157,45361,50073,50489,45830,44077,19043
Consciousness,https://openalex.org/C186720457,Artificial Intelligence,7286,7508,8194,7965,7506,7927,3707
Knowledge representation and reasoning,https://openalex.org/C161301231,Artificial Intelligence,661,730,805,814,755,851,310
Cybernetics,https://openalex.org/C115286129,Artificial Intelligence,603,625,660,658,677,628,446
Transhumanism,https://openalex.org/C551067111,Artificial Intelligence,215,286,296,340,284,278,132
User interface,https://openalex.org/C89505385,Artificial Intelligence,2292,2353,2189,2050,1962,2151,923
Cognition,https://openalex.org/C169900460,Artificial Intelligence,71547,76049,80784,81037,75862,81133,50548
Anime,https://openalex.org/C118130439,Artificial Intelligence,406,383,404,351,349,401,251
Virtual reality,https://openalex.org/C194969405,Artificial Intelligence,8199,9679,10440,10729,12025,15459,10620
Intelligent agent,https://openalex.org/C74072328,Artificial Intelligence,212,245,248,235,219,235,67
