year,field_id,count,keyword
2021,https://openalex.org/fields/24,0,Artificial Intelligences
2021,https://openalex.org/fields/29,0,Artificial Intelligences
2021,https://openalex.org/fields/30,0,Artificial Intelligences
2021,https://openalex.org/fields/15,0,Artificial Intelligences
2021,https://openalex.org/fields/34,0,Artificial Intelligences
2022,https://openalex.org/fields/27,1553,Artificial Intelligences
2022,https://openalex.org/fields/33,1481,Artificial Intelligences
2022,https://openalex.org/fields/17,1444,Artificial Intelligences
2022,https://openalex.org/fields/14,674,Artificial Intelligences
2022,https://openalex.org/fields/22,568,Artificial Intelligences
2022,https://openalex.org/fields/18,401,Artificial Intelligences
2022,https://openalex.org/fields/20,216,Artificial Intelligences
2022,https://openalex.org/fields/36,114,Artificial Intelligences
2022,https://openalex.org/fields/35,76,Artificial Intelligences
2022,https://openalex.org/fields/28,69,Artificial Intelligences
2022,https://openalex.org/fields/23,57,Artificial Intelligences
2022,https://openalex.org/fields/12,55,Artificial Intelligences
2022,https://openalex.org/fields/32,27,Artificial Intelligences
2022,https://openalex.org/fields/31,19,Artificial Intelligences
2022,https://openalex.org/fields/13,14,Artificial Intelligences
2022,https://openalex.org/fields/25,12,Artificial Intelligences
2022,https://openalex.org/fields/11,11,Artificial Intelligences
2022,https://openalex.org/fields/26,4,Artificial Intelligences
2022,https://openalex.org/fields/19,3,Artificial Intelligences
2022,https://openalex.org/fields/24,2,Artificial Intelligences
2022,https://openalex.org/fields/21,1,Artificial Intelligences
2022,https://openalex.org/fields/30,1,Artificial Intelligences
2022,https://openalex.org/fields/16,0,Artificial Intelligences
2022,https://openalex.org/fields/29,0,Artificial Intelligences
2022,https://openalex.org/fields/15,0,Artificial Intelligences
2022,https://openalex.org/fields/34,0,Artificial Intelligences
2023,https://openalex.org/fields/27,3960,Artificial Intelligences
2023,https://openalex.org/fields/17,2581,Artificial Intelligences
2023,https://openalex.org/fields/33,2432,Artificial Intelligences
2023,https://openalex.org/fields/14,960,Artificial Intelligences
2023,https://openalex.org/fields/22,887,Artificial Intelligences
2023,https://openalex.org/fields/18,746,Artificial Intelligences
2023,https://openalex.org/fields/20,323,Artificial Intelligences
2023,https://openalex.org/fields/36,186,Artificial Intelligences
2023,https://openalex.org/fields/35,149,Artificial Intelligences
2023,https://openalex.org/fields/23,121,Artificial Intelligences
2023,https://openalex.org/fields/28,97,Artificial Intelligences
2023,https://openalex.org/fields/12,82,Artificial Intelligences
2023,https://openalex.org/fields/32,66,Artificial Intelligences
2023,https://openalex.org/fields/31,23,Artificial Intelligences
2023,https://openalex.org/fields/25,17,Artificial Intelligences
2023,https://openalex.org/fields/13,16,Artificial Intelligences
2023,https://openalex.org/fields/11,15,Artificial Intelligences
2023,https://openalex.org/fields/19,10,Artificial Intelligences
2023,https://openalex.org/fields/16,5,Artificial Intelligences
2023,https://openalex.org/fields/26,2,Artificial Intelligences
2023,https://openalex.org/fields/24,0,Artificial Intelligences
2023,https://openalex.org/fields/21,0,Artificial Intelligences
2023,https://openalex.org/fields/29,0,Artificial Intelligences
2023,https://openalex.org/fields/30,0,Artificial Intelligences
2023,https://openalex.org/fields/15,0,Artificial Intelligences
2023,https://openalex.org/fields/34,0,Artificial Intelligences
2024,https://openalex.org/fields/27,4255,Artificial Intelligences
2024,https://openalex.org/fields/17,3631,Artificial Intelligences
2024,https://openalex.org/fields/33,3173,Artificial Intelligences
2024,https://openalex.org/fields/22,1252,Artificial Intelligences
2024,https://openalex.org/fields/18,1163,Artificial Intelligences
2024,https://openalex.org/fields/14,1107,Artificial Intelligences
2024,https://openalex.org/fields/20,389,Artificial Intelligences
2024,https://openalex.org/fields/36,246,Artificial Intelligences
2024,https://openalex.org/fields/35,185,Artificial Intelligences
2024,https://openalex.org/fields/28,133,Artificial Intelligences
2024,https://openalex.org/fields/23,117,Artificial Intelligences
2024,https://openalex.org/fields/32,97,Artificial Intelligences
2024,https://openalex.org/fields/12,95,Artificial Intelligences
2024,https://openalex.org/fields/25,31,Artificial Intelligences
2024,https://openalex.org/fields/13,26,Artificial Intelligences
2024,https://openalex.org/fields/31,20,Artificial Intelligences
2024,https://openalex.org/fields/19,19,Artificial Intelligences
2024,https://openalex.org/fields/11,17,Artificial Intelligences
2024,https://openalex.org/fields/26,7,Artificial Intelligences
2024,https://openalex.org/fields/24,6,Artificial Intelligences
2024,https://openalex.org/fields/15,2,Artificial Intelligences
2024,https://openalex.org/fields/21,2,Artificial Intelligences
2024,https://openalex.org/fields/30,2,Artificial Intelligences
2024,https://openalex.org/fields/16,1,Artificial Intelligences
2024,https://openalex.org/fields/29,0,Artificial Intelligences
2024,https://openalex.org/fields/34,0,Artificial Intelligences
2018,https://openalex.org/fields/14,1,Artificial Intelligence Technology
2018,https://openalex.org/fields/27,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/33,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/22,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/12,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/17,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/13,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/11,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/23,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/31,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/25,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/20,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/32,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/36,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/16,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/19,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/28,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/26,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/24,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/18,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/21,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/29,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/30,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/35,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/15,0,Artificial Intelligence Technology
2018,https://openalex.org/fields/34,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/27,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/33,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/22,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/12,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/17,0,Artificial Intelligence Technology
2019,https://openalex.org/fields/13,0,Artificial Intelligence Technology
